"id","primary_key","created_date","created_time","valid_upto","exception_id","Severity","department","isactive","logic"
"1","1","2024-08-10 00:00:00","17:54:20.491047","2024-09-15 00:00:00","2","Moderate","Data","1","SELECT * FROM 250k_new_dataset WHERE BirthDt IS NULL;"
"2","2","2024-08-10 00:00:00","17:54:20.492044","2024-09-15 00:00:00","2","Moderate","Data","1","SELECT * FROM 250k_new_dataset WHERE BirthDt IS NULL;"
"3","3","2024-08-10 00:00:00","17:54:20.493045","2024-09-15 00:00:00","2","Moderate","Data","1","SELECT * FROM 250k_new_dataset WHERE BirthDt IS NULL;"
"4","4","2024-08-10 00:00:00","17:54:20.494045","2024-09-15 00:00:00","2","Moderate","Data","1","SELECT * FROM 250k_new_dataset WHERE BirthDt IS NULL;"
"5","5","2024-08-10 00:00:00","17:54:20.494045","2024-09-15 00:00:00","2","Moderate","Data","1","SELECT * FROM 250k_new_dataset WHERE BirthDt IS NULL;"
"6","6","2024-08-10 00:00:00","17:54:20.495044","2024-09-15 00:00:00","2","Moderate","Data","1","SELECT * FROM 250k_new_dataset WHERE BirthDt IS NULL;"
"7","1","2024-08-24 11:23:34","17:54:37.245110","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"8","2","2024-08-24 11:23:34","17:54:37.246106","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"9","3","2024-08-24 11:23:34","17:54:37.247697","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"10","4","2024-08-24 11:23:34","17:54:37.251712","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"11","5","2024-08-24 11:23:34","17:54:37.251712","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"12","6","2024-08-24 11:23:34","17:54:37.252711","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"13","7","2024-08-24 11:23:34","17:54:37.253711","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"14","8","2024-08-24 11:23:34","17:54:37.253711","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"15","9","2024-08-24 11:23:34","17:54:37.254712","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"16","10","2024-08-24 11:23:34","17:54:37.255727","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"17","11","2024-08-24 11:23:34","17:54:37.256577","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"18","12","2024-08-24 11:23:34","17:54:37.257637","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"19","13","2024-08-24 11:23:34","17:54:37.258480","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"20","14","2024-08-24 11:23:34","17:54:37.260978","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"21","15","2024-08-24 11:23:34","17:54:37.261972","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"22","16","2024-08-24 11:23:34","17:54:37.261972","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"23","17","2024-08-24 11:23:34","17:54:37.262974","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"24","18","2024-08-24 11:23:34","17:54:37.262974","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"25","19","2024-08-24 11:23:34","17:54:37.263971","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"26","20","2024-08-24 11:23:34","17:54:37.263971","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"27","21","2024-08-24 11:23:34","17:54:37.264972","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"28","22","2024-08-24 11:23:34","17:54:37.264972","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"29","23","2024-08-24 11:23:34","17:54:37.265973","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"30","24","2024-08-24 11:23:34","17:54:37.265973","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"31","25","2024-08-24 11:23:34","17:54:37.265973","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"32","26","2024-08-24 11:23:34","17:54:37.266971","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"33","27","2024-08-24 11:23:34","17:54:37.267970","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"34","28","2024-08-24 11:23:34","17:54:37.267970","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"35","29","2024-08-24 11:23:34","17:54:37.269531","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"36","30","2024-08-24 11:23:34","17:54:37.269531","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
"37","31","2024-08-24 11:23:34","17:54:37.270482","2024-09-10 16:23:34","5","High","Compliance","0","SELECT * FROM 250k_new_dataset WHERE Occupation IS NOT NULL AND IndustryType IS NULL;"
